file,field,year,crop
koz1_soy_2010.csv_small.csv,koz1,2010,soybeans
koz1_soy_2012.csv_small.csv,koz1,2012,soybeans
koz2_2009.csv_small.csv,koz2,2009,corn
koz2_2011.csv_small.csv,koz2,2011,corn
koz2_soy_2008.csv_small.csv,koz2,2008,soybeans
koz2_soy_2010.csv_small.csv,koz2,2010,soybeans
koz2_soy_2012.csv_small.csv,koz2,2012,soybeans
koz3_2008.csv_small.csv,koz3,2008,corn
koz3_2009.csv_small.csv,koz3,2009,corn
wmk4_2010.csv_small.csv,wmk4,2010,corn
wmk4_2012.csv_small.csv,wmk4,2012,corn
wmk4_soy_2009.csv_small.csv,wmk4,2009,soybeans
wmk4_soy_2011.csv_small.csv,wmk4,2011,soybeans
wmk4_soy_2013.csv_small.csv,wmk4,2013,soybeans

